Technology (Process),PyPSA technology,Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 1,Aggregation Level 2
CHSAPEL100,Space heating services,COM,.PRE.,Com.Space Heat.SA.BIOPEL.00.Stove.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CLIGBAELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,commercial other
CLIGBAELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,commercial other
CLIGBAELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,commercial other
CLIGBAELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGBA,ANNUAL,"0,00",commercial other,commercial other
CLIGBAELC501,Commercial electrical processes,COM,.PRE.,CLIGBAELC501,PJ,GW,PRE,CLIGBA,ANNUAL,"0,00",commercial other,commercial other
CLIGBPELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,commercial other
CLIGBPELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,commercial other
CLIGBPELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,commercial other
CLIGBPELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGBP,ANNUAL,"0,00",commercial other,commercial other
CLIGBPELC501,Commercial electrical processes,COM,.PRE.,CLIGBPELC501,PJ,GW,PRE,CLIGBP,ANNUAL,"0,00",commercial other,commercial other
CLIGCOELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,commercial other
CLIGCOELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,commercial other
CLIGCOELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,commercial other
CLIGCOELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGCO,ANNUAL,"0,00",commercial other,commercial other
CLIGCOELC501,Commercial electrical processes,COM,.PRE.,CLIGCOELC501,PJ,GW,PRE,CLIGCO,ANNUAL,"0,00",commercial other,commercial other
CLIGCSELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,commercial other
CLIGCSELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,commercial other
CLIGCSELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,commercial other
CLIGCSELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGCS,ANNUAL,"0,00",commercial other,commercial other
CLIGCSELC501,Commercial electrical processes,COM,.PRE.,CLIGCSELC501,PJ,GW,PRE,CLIGCS,ANNUAL,"0,00",commercial other,commercial other
CLIGDATAELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,commercial other
CLIGDATAELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,commercial other
CLIGDATAELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,commercial other
CLIGDATAELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,commercial other
CLIGDATAELC501,Commercial electrical processes,COM,.PRE.,CLIGDATAELC501,PJ,GW,PRE,CLIGDATA,ANNUAL,"0,00",commercial other,commercial other
CLIGENELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,commercial other
CLIGENELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,commercial other
CLIGENELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,commercial other
CLIGENELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGEN,ANNUAL,"0,00",commercial other,commercial other
CLIGENELC501,Commercial electrical processes,COM,.PRE.,CLIGENELC501,PJ,GW,PRE,CLIGEN,ANNUAL,"0,00",commercial other,commercial other
CLIGNBAELC501,Commercial electrical processes,COM,.PRE.,CLIGNBAELC501,PJ,GW,PRE,CLIGNBA,ANNUAL,"0,00",commercial other,commercial other
CLIGNBPELC501,Commercial electrical processes,COM,.PRE.,CLIGNBPELC501,PJ,GW,PRE,CLIGNBP,ANNUAL,"0,00",commercial other,commercial other
CLIGNCOELC501,Commercial electrical processes,COM,.PRE.,CLIGNCOELC501,PJ,GW,PRE,CLIGNCO,ANNUAL,"0,00",commercial other,commercial other
CLIGNCSELC501,Commercial electrical processes,COM,.PRE.,CLIGNCSELC501,PJ,GW,PRE,CLIGNCS,ANNUAL,"0,00",commercial other,commercial other
CLIGNDATAELC501,Commercial electrical processes,COM,.PRE.,CLIGNDATAELC501,PJ,GW,PRE,CLIGNDATA,ANNUAL,"0,00",commercial other,commercial other
CLIGNENELC501,Commercial electrical processes,COM,.PRE.,CLIGNENELC501,PJ,GW,PRE,CLIGNEN,ANNUAL,,commercial other,commercial other
CLIGNSAELC501,Commercial electrical processes,COM,.PRE.,CLIGNSAELC501,PJ,GW,PRE,CLIGNSA,ANNUAL,,commercial other,commercial other
CLIGSAELC200,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Incandescent Improved.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,commercial other
CLIGSAELC300,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Halogen.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,commercial other
CLIGSAELC400,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.Fluorescent.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,commercial other
CLIGSAELC500,Commercial electrical processes,COM,.PRE.,Com.Lighting.ELC.00.LED.,PJ,PJA,PRE,CLIGSA,ANNUAL,"0,00",commercial other,commercial other
CLIGSAELC501,Commercial electrical processes,COM,.PRE.,CLIGSAELC501,PJ,GW,PRE,CLIGSA,ANNUAL,,commercial other,commercial other
COELELC100,Commercial electricity demands,COM,.DMD.,Com.Other Electricity.ELC.00.Other Equipments.,PJ,PJA,DMD,COEL,ANNUAL,"0,00",commercial other,commercial other
COELELC101,Commercial electricity demands,COM,.DMD.,Com.Other Electricity.ELC.1010.Other Equipments.,PJ,PJA,DMD,COEL,ANNUAL,"0,00",commercial other,commercial other
COENMIX100,Other energy demand (commercial),COM,.DMD.,Com.Other Energy.00.Other.,PJ,PJA,DMD,COEN,ANNUAL,"0,00",commercial other,commercial other
COENMIX101,Other energy demand (commercial),COM,.DMD.,Com.Other Energy.101.Other,PJ,PJA,DMD,COEN,ANNUAL,"0,00",commercial other,commercial other
COMBDL00,FT- Biodiesel (COM),COM,.PRE.,FT- Biodiesel (COM),PJ,PJA,PRE,COMBDL,ANNUAL,"0,00",FT- Biodiesel (COM),FT- Biodiesel (COM)
COMBGS00,Fuel Tech - biogaz enrichi,COM,.PRE.,Fuel Tech - biogaz enrichi (COM),PJ,PJA,PRE,COMBGS,ANNUAL,"0,00",Fuel Tech - biogaz enrichi,Local production
COMCPS00,Fuel Tech - Wood Chips,COM,.PRE.,Fuel Tech - Chips (COM),PJ,PJA,PRE,COMCPS,ANNUAL,"0,00",Fuel Tech - Wood Chips,Fuel Tech - Wood Chips
COMELC00,Fuel Tech - Electricity,COM,.PRE.,Fuel Tech - Electricity (COM),PJ,GW,PRE,COMELC,DAYNITE,"0,00",Fuel Tech - Electricity,Fuel Tech - Electricity
COMGEO00,Fuel Tech - Geothermal,COM,.PRE.,Fuel Tech - Geothermal (COM),PJ,PJA,PRE,COMGEO,ANNUAL,"0,00",Fuel Tech - Geothermal,Fuel Tech - Geothermal
COMGMX00,Fuel Tech  - Natural Gas,COM,.PRE.,Fuel Tech  - Natural Gas (COM),PJ,PJA,PRE,COMGMX,ANNUAL,"0,00",Fuel Tech  - Natural Gas,Fuel Tech  - Natural Gas
COMGSL00,Fuel Tech - GSL,COM,.PRE.,Fuel Tech - GSL (COM),PJ,PJA,PRE,COMGSL,ANNUAL,"0,00",Fuel Tech - GSL,Gasoline
COMHET00,Fuel Tech - Low Temparature Heat,COM,.PRE.,Fuel Tech - Low Temparature Heat (COM),PJ,PJA,PRE,COMHET,ANNUAL,"0,00",Fuel Tech - Low Temparature Heat,Fuel Tech - Low Temparature Heat
COMLPG00,Fuel Tech - Liquified Petroleum Gas,COM,.PRE.,Fuel Tech - Liquified Petroleum Gas (COM),PJ,PJA,PRE,COMLPG,ANNUAL,"0,00",Fuel Tech - Liquified Petroleum Gas,Fuel Tech - Liquified Petroleum Gas
COMOIL00,Fuel Tech - Oil,COM,.PRE.,Fuel Tech - Oil (COM),PJ,PJA,PRE,COMOIL,ANNUAL,"0,00",Fuel Tech - Oil,Oil
COMPEL00,Fuel Tech - Pellets,COM,.PRE.,Fuel Tech - Pellets (COM),PJ,PJA,PRE,COMPEL,ANNUAL,"0,00",Fuel Tech - Pellets,Fuel Tech - Wood Pellets
COMPVELC,PV commercial,COM,.ELE.,PV commercial,PJ,GW,ELE,COMPVELC_NRGO,DAYNITE,"0,00",PV commercial,PV commercial
COMSOL00,Fuel Tech - Solar,COM,.PRE.,Fuel Tech - Solar (COM),PJ,PJA,PRE,COMSOL,ANNUAL,"0,00",Fuel Tech - Solar,Solar
COM_CBAT_BA,Commercial buildings,COM,.DMD.,Building Existing BA,MM2,MM2-A,DMD,CBATBA,ANNUAL,"0,00",,
COM_CBAT_BP,Commercial buildings,COM,.DMD.,Building Existing BP,MM2,MM2-A,DMD,CBATBP,ANNUAL,"0,00",,
COM_CBAT_CO,Commercial buildings,COM,.DMD.,Building Existing CO,MM2,MM2-A,DMD,CBATCO,ANNUAL,"0,00",,
COM_CBAT_CS,Commercial buildings,COM,.DMD.,Building Existing CS,MM2,MM2-A,DMD,CBATCS,ANNUAL,"0,00",,
COM_CBAT_DATA,Commercial buildings,COM,.DMD.,Building Existing DATA,MM2,MM2-A,DMD,CBATDATA,ANNUAL,"0,00",,
COM_CBAT_EN,Commercial buildings,COM,.DMD.,Building Existing EN,MM2,MM2-A,DMD,CBATEN,ANNUAL,"0,00",,
COM_CBAT_SA,Commercial buildings,COM,.DMD.,Building Existing SA,MM2,MM2-A,DMD,CBATSA,ANNUAL,"0,00",,
COM_CNBAT_BA,Commercial buildings,COM,.DMD.,Building New BA,MM2,MM2-A,DMD,CNBATBA,ANNUAL,"0,00",,
COM_CNBAT_BP,Commercial buildings,COM,.DMD.,Building New BP,MM2,MM2-A,DMD,CNBATBP,ANNUAL,"0,00",,
COM_CNBAT_CO,Commercial buildings,COM,.DMD.,Building New CO,MM2,MM2-A,DMD,CNBATCO,ANNUAL,"0,00",,
COM_CNBAT_CS,Commercial buildings,COM,.DMD.,Building New CS,MM2,MM2-A,DMD,CNBATCS,ANNUAL,"0,00",,
COM_CNBAT_DATA,Commercial buildings,COM,.DMD.,Building New TA,MM2,MM2-A,DMD,CNBATDATA,ANNUAL,"0,00",,
COM_CNBAT_EN,Commercial buildings,COM,.DMD.,Building New EN,MM2,MM2-A,DMD,CNBATEN,ANNUAL,"0,00",,
COM_CNBAT_SA,Commercial buildings,COM,.DMD.,Building New SA,MM2,MM2-A,DMD,CNBATSA,ANNUAL,"0,00",,
COSEELC100,Commercial electricity demands,COM,.DMD.,Com.Serveur Electricity.DATA CENTER.ELC.00.Other Equipments.,PJ,PJA,DMD,COSE,ANNUAL,"0,00",commercial other,commercial other
COSEELC101,Commercial electricity demands,COM,.DMD.,Com.Serveur Electricity.DATA CENTER.ELC.01.Other Equipments.,PJ,PJA,DMD,COSE,ANNUAL,"0,00",commercial other,commercial other
CPLIELC100,Commercial electricity demands,COM,.DMD.,Com.Public Lighting.ELC.00.Generic Lamp.,PJ,PJA,DMD,CPLI,ANNUAL,"0,00",commercial other,commercial other
CPLIELC201,Commercial electricity demands,COM,.DMD.,Com.Public Lighting.ELC.201.LED.,PJ,PJA,DMD,CPLI,ANNUAL,"0,00",commercial other,commercial other
CREFELC100,Commercial electricity demands,COM,.DMD.,Com.Refrigeration.ELC.00.Refrigerator.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,commercial other
CREFELC200,Commercial electricity demands,COM,.DMD.,Com.Refrigeration.ELC.00.Freezer.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,commercial other
CREFELC300,Commercial electricity demands,COM,.DMD.,Com.Refrigeration.ELC.00.Refrigerator+Freezer.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,commercial other
CREFELC301,Commercial electricity demands,COM,.DMD.,Com.Refrigeration.ELC.301.Refrigerator.,PJ,PJA,DMD,CREF,ANNUAL,"0,00",commercial other,commercial other
CWBABGS100,services hot water,COM,.PRE.,Com.Water Heat.BA.BGS.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBACPS100,services hot water,COM,.PRE.,Com.Water Heat.BA.BIOCPS.00.Stove.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWBAGMX100,services hot water,COM,.PRE.,Com.Water Heat.BA.GAS.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBAGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - BA - GMX101,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBALPG100,services hot water,COM,.PRE.,Com.Water Heat.BA.LPG.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBAOIL100,services hot water,COM,.PRE.,Com.Water Heat.BA.OIL.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial Oil boiler
CWBAPEL100,services hot water,COM,.PRE.,Com.Water Heat.BA.BIOPEL.00.Stove.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWBASOL100,services hot water,COM,.PRE.,Com.Water Heat.BA.SOL.00.Furnace.,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWBASOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - BA - SOL101,PJ,GW,PRE,CWBA,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWBPBGS100,services hot water,COM,.PRE.,Com.Water Heat.BP.BGS.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBPCPS100,services hot water,COM,.PRE.,Com.Water Heat.BP.BIOCPS.00.Stove.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWBPGMX100,services hot water,COM,.PRE.,Com.Water Heat.BP.GAS.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBPGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - BP - GMX101,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBPLPG100,services hot water,COM,.PRE.,Com.Water Heat.BP.LPG.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWBPOIL100,services hot water,COM,.PRE.,Com.Water Heat.BP.OIL.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial Oil boiler
CWBPPEL100,services hot water,COM,.PRE.,Com.Water Heat.BP.BIOPEL.00.Stove.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWBPSOL100,services hot water,COM,.PRE.,Com.Water Heat.BP.SOL.00.Furnace.,PJ,GW,PRE,CWBP,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWBPSOL101,services hot water,COM,.DMD.,Com Water Heat New Boiler - BPN – SOL101,PJ,GW,DMD,CWBP,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWCOBGS100,services hot water,COM,.PRE.,Com.Water Heat.CO.BGS.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCOCPS100,services hot water,COM,.PRE.,Com.Water Heat.CO.BIOCPS.00.Stove.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWCOELC100,services hot water,COM,.PRE.,Com.Water Heat.CO.ELC.00.Resistance.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial electrical stove
CWCOELC200,services hot water,COM,.PRE.,Com.Water Heat.CO.ELC.00.Heat Pump.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial Heat pump
CWCOGMX100,services hot water,COM,.PRE.,Com.Water Heat.CO.GAS.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCOGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - CO - GMX101,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCOLPG100,services hot water,COM,.PRE.,Com.Water Heat.CO.LPG.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCOOIL100,services hot water,COM,.PRE.,Com.Water Heat.CO.OIL.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial Oil boiler
CWCOPEL100,services hot water,COM,.PRE.,Com.Water Heat.CO.BIOPEL.00.Stove.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWCOSOL100,services hot water,COM,.PRE.,Com.Water Heat.CO.SOL.00.Furnace.,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWCOSOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - CO - SOL101,PJ,GW,PRE,CWCO,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWCSBGS100,services hot water,COM,.PRE.,Com.Water Heat.CS.BGS.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCSCPS100,services hot water,COM,.PRE.,Com.Water Heat.CS.BIOCPS.00.Stove.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWCSGMX100,services hot water,COM,.PRE.,Com.Water Heat.CS.GAS.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCSGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - CS - GMX101,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCSHET100,services hot water,COM,.PRE.,Com.Water Heat.CS.LTH.00.Heat Exchanger.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial Heat Exchanger
CWCSLPG100,services hot water,COM,.PRE.,Com.Water Heat.CS.LPG.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWCSOIL100,services hot water,COM,.PRE.,Com.Water Heat.CS.OIL.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial Oil boiler
CWCSPEL100,services hot water,COM,.PRE.,Com.Water Heat.CS.BIOPEL.00.Stove.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWCSSOL100,services hot water,COM,.PRE.,Com.Water Heat.CS.SOL.00.Furnace.,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWCSSOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - CS - SOL101,PJ,GW,PRE,CWCS,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWENBGS100,services hot water,COM,.PRE.,Com.Water Heat.EN.BGS.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWENCPS100,services hot water,COM,.PRE.,Com.Water Heat.EN.BIOCPS.00.Stove.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWENGMX100,services hot water,COM,.PRE.,Com.Water Heat.EN.GAS.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWENGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - EN - GMX101,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWENLPG100,services hot water,COM,.PRE.,Com.Water Heat.EN.LPG.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWENOIL100,services hot water,COM,.PRE.,Com.Water Heat.EN.OIL.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial Oil boiler
CWENPEL100,services hot water,COM,.PRE.,Com.Water Heat.EN.BIOPEL.00.Stove.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWENSOL100,services hot water,COM,.PRE.,Com.Water Heat.EN.SOL.00.Furnace.,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWENSOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - EN - SOL101,PJ,GW,PRE,CWEN,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWNBAGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NBA - GMX101,PJ,GW,PRE,CWNBA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWNBPGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NBP - GMX101,PJ,GW,PRE,CWNBP,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWNCOGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NCO - GMX101,PJ,GW,PRE,CWNCO,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWNCSGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NCS - GMX101,PJ,GW,PRE,CWNCS,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWNCSSOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NCS - SOL101,PJ,GW,PRE,CWNCS,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWNENGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NEN - GMX101,PJ,GW,PRE,CWNEN,ANNUAL,,commercial hot water,Commercial gas boiler
CWNENSOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NEN - SOL101,PJ,GW,PRE,CWNEN,ANNUAL,,commercial hot water,Commercial gas boiler
CWNSAGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NSA - GMX101,PJ,GW,PRE,CWNSA,ANNUAL,,commercial hot water,Commercial gas boiler
CWNSASOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - NSA - SOL101,PJ,GW,PRE,CWNSA,ANNUAL,,commercial hot water,Commercial solar thermal
CWSABGS100,services hot water,COM,.PRE.,Com.Water Heat.SA.BGS.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWSACPS100,services hot water,COM,.PRE.,Com.Water Heat.SA.BIOCPS.00.Stove.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWSAGMX100,services hot water,COM,.PRE.,Com.Water Heat.SA.GAS.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWSAGMX101,services hot water,COM,.PRE.,Com Water Heat New Boiler - SA - GMX101,PJ,GW,PRE,CWSA,ANNUAL,,commercial hot water,Commercial gas boiler
CWSAHET100,services hot water,COM,.PRE.,Com.Water Heat.SA.LTH.00.Heat Exchanger.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial Heat Exchanger
CWSALPG100,services hot water,COM,.PRE.,Com.Water Heat.SA.LPG.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial gas boiler
CWSAOIL100,services hot water,COM,.PRE.,Com.Water Heat.SA.OIL.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial Oil boiler
CWSAPEL100,services hot water,COM,.PRE.,Com.Water Heat.SA.BIOPEL.00.Stove.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial Biomass boiler
CWSASOL100,services hot water,COM,.PRE.,Com.Water Heat.SA.SOL.00.Furnace.,PJ,GW,PRE,CWSA,ANNUAL,"0,00",commercial hot water,Commercial solar thermal
CWSASOL101,services hot water,COM,.PRE.,Com Water Heat New Boiler - SA - SOL101,PJ,GW,PRE,CWSA,ANNUAL,,commercial hot water,Commercial solar thermal
DIGEGAS100,Heat from COM sector,SUP,.PRE.,Chaleur digesteur biogaz,PJ,GW,PRE,SUPHET,ANNUAL,"0,00",Heat from COM sector,Heat from COM sector
DIGEOIL100,Heat from COM sector,SUP,.PRE.,Chaleur digesteur mazout,PJ,GW,PRE,SUPHET,ANNUAL,"0,00",Heat from COM sector,Heat from COM sector
DJ_2F_process,degree-days correction for the base year,RSD,.DMD.,degree-days correction for the base year (2F),PJ,PJA,DMD,DJ2F,ANNUAL,"0,00",degree-days correction for the base year,degree-days correction for the base year
DJ_3F_process,degree-days correction for the base year,RSD,.DMD.,degree-days correction for the base year (3F),PJ,PJA,DMD,DJ3F,ANNUAL,"0,00",degree-days correction for the base year,degree-days correction for the base year
DJ_4F_process,degree-days correction for the base year,RSD,.DMD.,degree-days correction for the base year (4F),PJ,PJA,DMD,DJ4F,ANNUAL,"0,00",degree-days correction for the base year,degree-days correction for the base year
DJ_AP_process,degree-days correction for the base year,RSD,.DMD.,degree-days correction for the base year (AP),PJ,PJA,DMD,DJAP,ANNUAL,"0,00",degree-days correction for the base year,degree-days correction for the base year
